,var,AUC_loss
294,CTriad_g6.g7.g7.m1,0
295,CTriad_g7.g1.g1.m1,0
298,CTriad_g7.g1.g4.m1,0
299,CTriad_g7.g1.g5.m1,0
300,CTriad_g7.g1.g6.m1,0
301,CTriad_g7.g1.g7.m1,0
302,CTriad_g7.g2.g1.m1,0
303,CTriad_g7.g2.g2.m1,0
304,CTriad_g7.g2.g3.m1,0
305,CTriad_g7.g2.g4.m1,0
306,CTriad_g7.g2.g5.m1,0
307,CTriad_g7.g2.g6.m1,0
308,CTriad_g7.g2.g7.m1,0
310,CTriad_g7.g3.g2.m1,0
311,CTriad_g7.g3.g3.m1,0
312,CTriad_g7.g3.g4.m1,0
313,CTriad_g7.g3.g5.m1,0
314,CTriad_g7.g3.g6.m1,0
315,CTriad_g7.g3.g7.m1,0
316,CTriad_g7.g4.g1.m1,0
317,CTriad_g7.g4.g2.m1,0
318,CTriad_g7.g4.g3.m1,0
320,CTriad_g7.g4.g5.m1,0
321,CTriad_g7.g4.g6.m1,0
322,CTriad_g7.g4.g7.m1,0
323,CTriad_g7.g5.g1.m1,0
324,CTriad_g7.g5.g2.m1,0
325,CTriad_g7.g5.g3.m1,0
326,CTriad_g7.g5.g4.m1,0
327,CTriad_g7.g5.g5.m1,0
328,CTriad_g7.g5.g6.m1,0
329,CTriad_g7.g5.g7.m1,0
330,CTriad_g7.g6.g1.m1,0
331,CTriad_g7.g6.g2.m1,0
332,CTriad_g7.g6.g3.m1,0
335,CTriad_g7.g6.g6.m1,0
336,CTriad_g7.g6.g7.m1,0
337,CTriad_g7.g7.g1.m1,0
338,CTriad_g7.g7.g2.m1,0
340,CTriad_g7.g7.g4.m1,0
341,CTriad_g7.g7.g5.m1,0
342,CTriad_g7.g7.g6.m1,0
343,CTriad_g7.g7.g7.m1,0
379,DPC_AP.m1,0
385,DPC_AW.m1,0
389,DPC_CD.m1,0
391,DPC_CF.m1,0
392,DPC_CG.m1,0
393,DPC_CH.m1,0
394,DPC_CI.m1,0
395,DPC_CK.m1,0
396,DPC_CL.m1,0
398,DPC_CN.m1,0
399,DPC_CP.m1,0
400,DPC_CQ.m1,0
401,DPC_CR.m1,0
402,DPC_CS.m1,0
403,DPC_CT.m1,0
404,DPC_CV.m1,0
405,DPC_CW.m1,0
406,DPC_CY.m1,0
408,DPC_DC.m1,0
410,DPC_DE.m1,0
411,DPC_DF.m1,0
413,DPC_DH.m1,0
417,DPC_DM.m1,0
420,DPC_DQ.m1,0
425,DPC_DW.m1,0
426,DPC_DY.m1,0
428,DPC_EC.m1,0
430,DPC_EE.m1,0
431,DPC_EF.m1,0
436,DPC_EL.m1,0
439,DPC_EP.m1,0
446,DPC_EY.m1,0
448,DPC_FC.m1,0
449,DPC_FD.m1,0
450,DPC_FE.m1,0
451,DPC_FF.m1,0
456,DPC_FL.m1,0
457,DPC_FM.m1,0
458,DPC_FN.m1,0
459,DPC_FP.m1,0
460,DPC_FQ.m1,0
465,DPC_FW.m1,0
466,DPC_FY.m1,0
472,DPC_GG.m1,0
473,DPC_GH.m1,0
485,DPC_GW.m1,0
488,DPC_HC.m1,0
489,DPC_HD.m1,0
491,DPC_HF.m1,0
496,DPC_HL.m1,0
497,DPC_HM.m1,0
498,DPC_HN.m1,0
500,DPC_HQ.m1,0
502,DPC_HS.m1,0
504,DPC_HV.m1,0
505,DPC_HW.m1,0
506,DPC_HY.m1,0
511,DPC_IF.m1,0
513,DPC_IH.m1,0
518,DPC_IN.m1,0
525,DPC_IW.m1,0
528,DPC_KC.m1,0
539,DPC_KP.m1,0
545,DPC_KW.m1,0
546,DPC_KY.m1,0
548,DPC_LC.m1,0
553,DPC_LH.m1,0
565,DPC_LW.m1,0
568,DPC_MC.m1,0
571,DPC_MF.m1,0
575,DPC_MK.m1,0
577,DPC_MM.m1,0
578,DPC_MN.m1,0
585,DPC_MW.m1,0
586,DPC_MY.m1,0
588,DPC_NC.m1,0
591,DPC_NF.m1,0
593,DPC_NH.m1,0
605,DPC_NW.m1,0
606,DPC_NY.m1,0
607,DPC_PA.m1,0
609,DPC_PD.m1,0
610,DPC_PE.m1,0
611,DPC_PF.m1,0
612,DPC_PG.m1,0
613,DPC_PH.m1,0
615,DPC_PK.m1,0
617,DPC_PM.m1,0
619,DPC_PP.m1,0
620,DPC_PQ.m1,0
624,DPC_PV.m1,0
625,DPC_PW.m1,0
626,DPC_PY.m1,0
628,DPC_QC.m1,0
629,DPC_QD.m1,0
630,DPC_QE.m1,0
631,DPC_QF.m1,0
645,DPC_QW.m1,0
648,DPC_RC.m1,0
654,DPC_RI.m1,0
664,DPC_RV.m1,0
665,DPC_RW.m1,0
666,DPC_RY.m1,0
677,DPC_SM.m1,0
685,DPC_SW.m1,0
697,DPC_TM.m1,0
699,DPC_TP.m1,0
705,DPC_TW.m1,0
709,DPC_VD.m1,0
725,DPC_VW.m1,0
727,DPC_WA.m1,0
728,DPC_WC.m1,0
729,DPC_WD.m1,0
730,DPC_WE.m1,0
731,DPC_WF.m1,0
732,DPC_WG.m1,0
733,DPC_WH.m1,0
735,DPC_WK.m1,0
737,DPC_WM.m1,0
738,DPC_WN.m1,0
739,DPC_WP.m1,0
740,DPC_WQ.m1,0
741,DPC_WR.m1,0
743,DPC_WT.m1,0
744,DPC_WV.m1,0
745,DPC_WW.m1,0
746,DPC_WY.m1,0
747,DPC_YA.m1,0
748,DPC_YC.m1,0
