"PROT","HOLD","FEAT","CLASS","IMP","value","sd"
"HA","H3N8","two_mer","Phyllostomidae",0.0054,0.955917095722785,0.00596968635616116
"HA","H3N8","two_mer","Suidae",0.2196,0.959054595957384,0.00703464742664918
"HA","H3N8","CTDc","Canidae",0.0022,0.949881073776799,0.00490982621541005
"HA","H3N8","CTDc","Equidae",6e-04,0.968227617659387,0.00508801955146643
"HA","H3N8","CTDc","Hominidae",0.0131,0.946744574499365,0.00954266668644062
"HA","H3N8","CTDc","Phyllostomidae",0.0039,0.955023240974182,0.00366038576557888
"HA","H3N8","CTDc","Suidae",0.0575,0.955917095722785,0.00596968635616116
"HA","H3N8","CTDd","Canidae",0.0031,0.959054595957384,0.00703464742664918
"HA","H3N8","CTDd","Equidae",0.0027,0.949881073776799,0.00490982621541005
"HA","H3N8","CTDd","Hominidae",0.015,0.968227617659387,0.00508801955146643
"HA","H3N8","CTDd","Phyllostomidae",0.0042,0.946744574499365,0.00954266668644062
"HA","H3N8","CTDd","Suidae",0.0513,0.955023240974182,0.00366038576557888
"HA","H3N8","CTDt","Canidae",0.0015,0.955917095722785,0.00596968635616116
"HA","H3N8","CTDt","Equidae",0.0044,0.959054595957384,0.00703464742664918
"HA","H3N8","CTDt","Hominidae",0.0805,0.949881073776799,0.00490982621541005
"HA","H3N8","CTDt","Phyllostomidae",0.0018,0.968227617659387,0.00508801955146643
"HA","H3N8","CTDt","Suidae",0.0661,0.946744574499365,0.00954266668644062
"HA","H3N8","triad","Canidae",0.0071,0.955023240974182,0.00366038576557888
"HA","H3N8","triad","Equidae",0.0027,0.955917095722785,0.00596968635616116
"HA","H3N8","triad","Hominidae",0.0665,0.959054595957384,0.00703464742664918
"HA","H3N8","triad","Phyllostomidae",0.0041,0.949881073776799,0.00490982621541005
"HA","H3N8","triad","Suidae",0.1493,0.968227617659387,0.00508801955146643
"HA","H3N8","pseaac","Canidae",0.0022,0.946744574499365,0.00954266668644062
"HA","H3N8","pseaac","Equidae",5e-04,0.955023240974182,0.00366038576557888
"HA","H3N8","pseaac","Hominidae",0.0258,0.955917095722785,0.00596968635616116
"HA","H3N8","pseaac","Phyllostomidae",0.0013,0.959054595957384,0.00703464742664918
"HA","H3N8","pseaac","Suidae",0.0427,0.949881073776799,0.00490982621541005
"HA","H4N2","two_mer","Canidae",0.0142,0.96506567897351,0.00873952955465056
"HA","H4N2","two_mer","Equidae",0.0107,0.94494291915059,0.00878971877191787
"HA","H4N2","two_mer","Hominidae",0.2415,0.953792004510222,0.00514617278958717
"HA","H4N2","two_mer","Phyllostomidae",0.0056,0.950474629253666,0.00710364238800726
"HA","H4N2","two_mer","Suidae",0.217,0.957774305950951,0.00505866696931861
"HA","H4N2","CTDc","Canidae",0.0022,0.949374538599011,0.00555005386563429
"HA","H4N2","CTDc","Equidae",0.0046,0.96506567897351,0.00873952955465056
"HA","H4N2","CTDc","Hominidae",0.012,0.94494291915059,0.00878971877191787
"HA","H4N2","CTDc","Phyllostomidae",0.0032,0.953792004510222,0.00514617278958717
"HA","H4N2","CTDc","Suidae",0.032,0.950474629253666,0.00710364238800726
"HA","H4N2","CTDd","Canidae",0.0029,0.957774305950951,0.00505866696931861
"HA","H4N2","CTDd","Equidae",0.0045,0.949374538599011,0.00555005386563429
"HA","H4N2","CTDd","Hominidae",0.022,0.96506567897351,0.00873952955465056
"HA","H4N2","CTDd","Phyllostomidae",0.0027,0.94494291915059,0.00878971877191787
"HA","H4N2","CTDd","Suidae",0.0747,0.953792004510222,0.00514617278958717
"HA","H4N2","CTDt","Canidae",0.0074,0.950474629253666,0.00710364238800726
"HA","H4N2","CTDt","Equidae",0.003,0.957774305950951,0.00505866696931861
"HA","H4N2","CTDt","Hominidae",0.0196,0.949374538599011,0.00555005386563429
"HA","H4N2","CTDt","Phyllostomidae",0.0019,0.96506567897351,0.00873952955465056
"HA","H4N2","CTDt","Suidae",0.071,0.94494291915059,0.00878971877191787
"HA","H4N2","triad","Canidae",0.0093,0.953792004510222,0.00514617278958717
"HA","H4N2","triad","Equidae",0.0115,0.950474629253666,0.00710364238800726
"HA","H4N2","triad","Hominidae",0.0488,0.957774305950951,0.00505866696931861
"HA","H4N2","triad","Phyllostomidae",0.0036,0.949374538599011,0.00555005386563429
"HA","H4N2","triad","Suidae",0.1086,0.96506567897351,0.00873952955465056
"HA","H4N2","pseaac","Canidae",9e-04,0.94494291915059,0.00878971877191787
"HA","H4N2","pseaac","Equidae",0.0028,0.953792004510222,0.00514617278958717
"HA","H4N2","pseaac","Hominidae",0.0171,0.950474629253666,0.00710364238800726
"HA","H4N2","pseaac","Phyllostomidae",0.0015,0.957774305950951,0.00505866696931861
"HA","H4N2","pseaac","Suidae",0.0433,0.949374538599011,0.00555005386563429
"HA","H4N6","two_mer","Canidae",0.0113,0.965274667808254,0.00520557225393332
"HA","H4N6","two_mer","Equidae",0.0082,0.942499738229504,0.00670401073041758
"HA","H4N6","two_mer","Hominidae",0.1636,0.953321469805051,0.010562499627328
"HA","H4N6","two_mer","Phyllostomidae",0.0048,0.949040668164404,0.00594699513167562
"HA","H4N6","two_mer","Suidae",0.2155,0.958737040526291,0.00482596598377858
"HA","H4N6","CTDc","Canidae",0.0049,0.948362960571918,0.00755956007854546
"HA","H4N6","CTDc","Equidae",0.0012,0.965274667808254,0.00520557225393332
