"","Iteration","Lh","Tree.No","qAB","qAD","qAE","qAH","qAP","qBA","qBD","qBE","qBH","qBP","qDA","qDB","qDE","qDH","qDP","qEA","qEB","qED","qEH","qEP","qHA","qHB","qHD","qHE","qHP","qPA","qPB","qPD","qPE","qPH","RecNode.P.A.","RecNode.P.B.","RecNode.P.D.","RecNode.P.E.","RecNode.P.H.","RecNode.P.P."
"70",149000,-148.810412,1,0,0.614757,0,0,0.614757,0,0,0.614757,0,0.614757,12.241314,0.614757,12.241314,0.614757,0.614757,0,0.614757,12.241314,0.614757,0,0,0.614757,0,0.614757,12.241314,0.614757,0,0,0.614757,0.614757,0.168979,0.160218,0.168124,0.167707,0.167277,0.167695
"71",151000,-151.211978,1,0,0.682595,0,0,0.682595,0,0,0.682595,0,0,0.682595,0,10.285946,0.682595,10.285946,0.682595,0.682595,0,0.682595,0,0.682595,0.682595,0.682595,0,10.285946,0.682595,0,0,0,0.682595,0.185482,0.11453,0.172702,0.156337,0.182981,0.187968
"72",153000,-148.933398,1,0,0.837278,0,0.837278,0.837278,0.837278,0.837278,0.837278,0,0.837278,16.284514,0.837278,16.284514,0,0,0.837278,0.837278,16.284514,0.837278,0,0.837278,0.837278,0,0.837278,16.284514,0.837278,0,0,0,0.837278,0.1667,0.167053,0.166795,0.166828,0.166344,0.16628
"73",155000,-144.58466,1,0,0.655956,0,0.655956,0.655956,0,0.655956,0,0,0.655956,0.655956,15.254628,15.254628,0.655956,0,0,0,0.655956,0.655956,0,0.655956,0.655956,0,0.655956,15.254628,0.655956,0,0,0,0.655956,0.172769,0.155415,0.154665,0.153192,0.180865,0.183095
"74",157000,-149.334215,1,0,0.149883,0.788184,0.149883,0.788184,0,0,0.788184,0,0.149883,0.149883,27.33401,0,0.788184,0.149883,0,0,0,27.33401,0.788184,0.149883,0.149883,0.149883,0.788184,27.33401,0.788184,0,0.149883,0,0.788184,0.172327,0.155834,0.155922,0.171995,0.171914,0.172008
"75",159000,-157.57903,1,0,0.238295,0.238295,0.238295,0.238295,0.238295,0,0.238295,0.238295,0.238295,20.980513,20.980513,0,0.238295,0.238295,0,0,0.238295,0,0,0.238295,0.238295,0.238295,0.238295,20.980513,0.238295,0,0.238295,0,0.238295,0.194359,0.154912,0.175215,0.075696,0.198844,0.200974
"76",161000,-157.0361,1,0,0.439773,0.439773,0.439773,0.439773,0,0,0.439773,0.439773,0.439773,15.802379,0.439773,0.439773,0.439773,0.439773,0.439773,0,0.439773,0,0.439773,0.439773,0.439773,0.439773,0,15.802379,0.439773,0.439773,0.439773,0.439773,0.439773,0.169734,0.158999,0.16945,0.169912,0.165901,0.166004
"77",163000,-157.194518,1,0,0.249786,0.249786,0.249786,0.249786,0,0.249786,0.249786,0.249786,0.249786,16.444136,0.249786,0.249786,0.249786,0.249786,0.249786,0.249786,0.249786,0.249786,0.249786,0.249786,0,0,0,16.444136,0.249786,0.249786,0.249786,0.249786,0.249786,0.180531,0.151061,0.18009,0.162198,0.163027,0.163093
"78",165000,-160.958861,1,0,1.005692,0,0,1.005692,0,1.005692,1.005692,0,0,17.724633,1.005692,17.724633,1.005692,0,1.005692,1.005692,1.005692,0.161776,0.161776,0.161776,0,0,0,17.724633,1.005692,0.161776,0,0.161776,1.005692,0.167725,0.164371,0.166778,0.16594,0.167611,0.167575
"79",167000,-151.373958,1,0,0.610273,0,0,0.610273,0,0,0.610273,0,0,13.154454,0.610273,13.154454,0.610273,0,0.610273,0.610273,0.610273,0,0.610273,0.610273,0.610273,0,0.610273,13.154454,0.610273,0,0,0.610273,0.610273,0.187258,0.119864,0.174545,0.164055,0.17593,0.178348
