"","Iteration","Lh","Tree.No","qAB","qAD","qAE","qAH","qAP","qBA","qBD","qBE","qBH","qBP","qDA","qDB","qDE","qDH","qDP","qEA","qEB","qED","qEH","qEP","qHA","qHB","qHD","qHE","qHP","qPA","qPB","qPD","qPE","qPH","RecNode.P.A.","RecNode.P.B.","RecNode.P.D.","RecNode.P.E.","RecNode.P.H.","RecNode.P.P."
"66",141000,-345.216906,1,0,0,0.390088,0.390088,0.390088,0,0,0.390088,0,0,0.390088,0.390088,0,0.390088,0,0.390088,0,12.585499,0.390088,0.390088,0.390088,0.390088,0,0,12.585499,0.390088,0,0,0,0.390088,0.011136,0.000634,0.02447,0.046574,0.642649,0.274537
"67",143000,-345.915283,1,0,0,0.34926,0.34926,0.34926,0,0.34926,0.34926,0,0,0.34926,0,0,0.34926,0.34926,0.34926,0,9.306722,0.34926,0.34926,0.34926,0.34926,0.34926,0,9.306722,0.34926,0,0,0,0.34926,0.003282,0.001473,0.003282,0.003282,0.677596,0.311085
"68",145000,-351.583225,1,0,0,0.324106,0.324106,0.324106,0.324106,0.324106,0.324106,0.324106,0.324106,0.324106,0.324106,0.324106,0.324106,0.324106,0.324106,0,11.744907,0.324106,0.324106,0.324106,0.324106,0.324106,0.324106,11.744907,0.324106,0,0,0,0.324106,0.007832,0.112818,0.039291,0.037143,0.525087,0.277828
"69",147000,-346.69794,1,0,0,0.390893,0.390893,0.390893,0.390893,0.390893,0.390893,0.390893,0,0.390893,0.390893,0.390893,0.390893,0,0.390893,0.390893,10.76699,0.390893,0.390893,0.390893,0.390893,0.390893,0,10.76699,0.390893,0,0,0,0.390893,0.012085,0.040825,0.017484,0.040436,0.540737,0.348433
"70",149000,-346.007508,1,0,0,0.480124,0.480124,0.480124,0.480124,0,0.480124,0,0,0.480124,0.480124,0.480124,0.480124,0,0,0.480124,6.718976,0,0.480124,0.480124,0.480124,0.480124,0.480124,6.718976,0.480124,0,0,0,0.480124,0.013429,0.000791,0.008843,0.027155,0.446786,0.502995
"71",151000,-349.328571,1,0,0,0.314205,0.314205,0.314205,0.314205,0.314205,0,0.314205,0.314205,0.314205,0.314205,0.314205,0.314205,0.314205,0,0.314205,8.587021,0,0,0.314205,0.314205,0.314205,0.314205,8.587021,0.314205,0,0,0,0.314205,0.007595,0.107288,0.033221,0.003088,0.529919,0.318889
"72",153000,-348.275015,1,0,0,0.612406,0.612406,0.612406,0.612406,0.612406,0,0.612406,0.612406,0,0.612406,0.612406,0,0,0.612406,0.612406,9.542689,0,0.612406,0.612406,0,0.612406,0,9.542689,0.612406,0,0,0,0.612406,0.029748,0.098894,0.000956,0.042442,0.434389,0.393571
"73",155000,-346.779287,1,0,0,0.440036,0.440036,0.440036,0,0.440036,0,0.440036,0.440036,0.440036,0,0.440036,0.440036,0,0.440036,0.440036,10.329848,0,0.440036,0.440036,0.440036,0.440036,0,10.329848,0.440036,0,0,0,0.440036,0.007046,0.149222,0.002477,0.006563,0.498796,0.335896
"74",157000,-347.785494,1,0,0,0.500736,0.500736,0.500736,0.500736,0.500736,0.500736,0,0.500736,0,0.500736,0.500736,0.500736,0,0,11.82457,11.82457,0.500736,0.500736,0.500736,0,0.500736,0,11.82457,0.500736,0,0,0,0.500736,0.027486,0.041539,0.022867,0.055768,0.429545,0.422795
"75",159000,-350.108258,1,0,0,0.404694,0.404694,0.404694,0,0.404694,0,0.404694,0.404694,0.404694,0.404694,0.404694,0,0,0.404694,9.964181,9.964181,0.404694,0.404694,0.404694,0.404694,0,0,9.964181,0.404694,0,0,0,0.404694,0.019309,0.076723,0.000503,0.050096,0.461063,0.392307
